frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-0.024826,0.227129,-0.707045,0.707169,3
map,-0.024822,0.202129,-0.707045,0.707169,3
map,-0.024818,0.177129,-0.707039,0.707174,3
map,-0.024813,0.152129,-0.707037,0.707177,3
map,-0.024808,0.127129,-0.707037,0.707177,3
map,-0.024803,0.102129,-0.707034,0.707180,3
map,-0.024797,0.077129,-0.707029,0.707185,3
map,-0.024792,0.052129,-0.707026,0.707188,3
map,-0.024786,0.027129,-0.707026,0.707188,3
map,-0.024780,0.002129,-0.707023,0.707190,3
map,-0.024774,-0.022871,-0.707020,0.707193,3
map,-0.024768,-0.047871,-0.707018,0.707196,3
map,-0.024762,-0.072871,-0.707015,0.707199,3
map,-0.024755,-0.097871,-0.707012,0.707201,3
map,-0.024748,-0.122871,-0.707010,0.707204,3
map,-0.024741,-0.147871,-0.707010,0.707204,3
map,-0.024734,-0.172871,-0.707004,0.707209,3
map,-0.024727,-0.197871,-0.707002,0.707212,3
map,-0.024720,-0.222871,-0.706999,0.707215,3
map,-0.024712,-0.247871,-0.706993,0.707220,3
map,-0.024704,-0.272871,-0.706993,0.707220,3
map,-0.024696,-0.297871,-0.706988,0.707225,3
map,-0.024687,-0.322871,-0.706983,0.707231,3
map,-0.024678,-0.347871,-0.706983,0.707231,3
map,-0.024669,-0.372871,-0.706977,0.707236,3
map,-0.024660,-0.397871,-0.706972,0.707242,3
map,-0.024650,-0.422871,-0.706969,0.707244,3
map,-0.024640,-0.447871,-0.706964,0.707250,3
map,-0.024630,-0.472871,-0.706958,0.707255,3
map,-0.024619,-0.497871,-0.706956,0.707258,3
map,-0.024609,-0.522871,-0.706953,0.707260,3
map,-0.024597,-0.547871,-0.706948,0.707266,3
map,-0.024586,-0.572871,-0.706942,0.707271,3
map,-0.024574,-0.597871,-0.706937,0.707277,3
map,-0.024562,-0.622871,-0.706934,0.707279,3
map,-0.024550,-0.647871,-0.706929,0.707285,3
map,-0.024537,-0.672871,-0.706921,0.707293,3
map,-0.024523,-0.697871,-0.706918,0.707296,3
map,-0.024510,-0.722871,-0.706913,0.707301,3
map,-0.024496,-0.747871,-0.706907,0.707306,3
map,-0.024482,-0.772871,-0.706902,0.707312,3
map,-0.024467,-0.797871,-0.706896,0.707317,3
map,-0.024452,-0.822871,-0.706891,0.707323,3
map,-0.024436,-0.847871,-0.706883,0.707331,3
map,-0.024420,-0.872871,-0.706877,0.707336,3
map,-0.024404,-0.897871,-0.706869,0.707344,3
map,-0.024387,-0.922871,-0.706864,0.707349,3
map,-0.024370,-0.947871,-0.706859,0.707355,3
map,-0.024352,-0.972871,-0.706850,0.707363,3
map,-0.024333,-0.997871,-0.706842,0.707371,3
map,-0.024314,-1.022871,-0.706834,0.707379,3
map,-0.024295,-1.047871,-0.706826,0.707387,3
