frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,-0.029514,3.066910,-0.708870,0.705339,18
odom,-0.030049,2.960525,-0.708895,0.705314,18
odom,-0.030584,2.854145,-0.708875,0.705335,18
odom,-0.031116,2.747770,-0.708872,0.705338,18
odom,-0.031645,2.641404,-0.708850,0.705359,18
odom,-0.032172,2.535048,-0.708867,0.705342,18
odom,-0.032694,2.428703,-0.708816,0.705394,18
odom,-0.033256,2.322372,-0.709131,0.705077,18
odom,-0.033853,2.226533,-0.709475,0.704730,18
odom,-0.034468,2.133121,-0.709386,0.704820,18
odom,-0.035036,2.045575,-0.709401,0.704805,18
odom,-0.035574,1.962234,-0.709368,0.704838,18
odom,-0.036085,1.882539,-0.709371,0.704835,18
odom,-0.036569,1.806712,-0.709347,0.704860,18
odom,-0.037021,1.734964,-0.709317,0.704889,18
odom,-0.037475,1.664455,-0.709448,0.704758,18
odom,-0.038013,1.574242,-0.708980,0.705229,18

odom,-0.028879,3.192404,-0.709045,0.705164,19
odom,-0.029161,3.073869,-0.706853,0.707360,19
odom,-0.029193,2.967343,-0.707569,0.706644,19
odom,-0.029289,2.861345,-0.707289,0.706925,19
odom,-0.029355,2.755351,-0.707362,0.706851,19
odom,-0.029424,2.649363,-0.707314,0.706899,19
odom,-0.029480,2.543382,-0.707276,0.706937,19
odom,-0.029536,2.437411,-0.707310,0.706903,19
odom,-0.029578,2.331451,-0.707187,0.707027,19
odom,-0.029715,2.225504,-0.707942,0.706270,19
odom,-0.030054,2.129768,-0.708770,0.705439,19
odom,-0.030466,2.036538,-0.708558,0.705653,19
odom,-0.030829,1.949138,-0.708589,0.705622,19
odom,-0.031171,1.865924,-0.708524,0.705686,19
odom,-0.031488,1.786350,-0.708498,0.705713,19
odom,-0.031784,1.710641,-0.708473,0.705738,19
odom,-0.032062,1.639004,-0.708480,0.705731,19
odom,-0.032325,1.568604,-0.708375,0.705836,19
odom,-0.032662,1.478548,-0.708493,0.705718,19

odom,-0.028879,3.192404,-0.709045,0.705164,20
odom,-0.029161,3.073869,-0.706853,0.707360,20
odom,-0.029193,2.967343,-0.707569,0.706644,20
odom,-0.029289,2.861345,-0.707289,0.706925,20
odom,-0.029355,2.755351,-0.707362,0.706851,20
odom,-0.029424,2.649363,-0.707314,0.706899,20
odom,-0.029480,2.543382,-0.707276,0.706937,20
odom,-0.029536,2.437411,-0.707310,0.706903,20
odom,-0.029578,2.331451,-0.707187,0.707027,20
odom,-0.029715,2.225504,-0.707942,0.706270,20
odom,-0.030054,2.129768,-0.708770,0.705439,20
odom,-0.030466,2.036538,-0.708558,0.705653,20
odom,-0.030829,1.949138,-0.708589,0.705622,20
odom,-0.031171,1.865924,-0.708524,0.705686,20
odom,-0.031488,1.786350,-0.708498,0.705713,20
odom,-0.031784,1.710641,-0.708473,0.705738,20
odom,-0.032062,1.639004,-0.708480,0.705731,20
odom,-0.032325,1.568604,-0.708375,0.705836,20
odom,-0.032662,1.478548,-0.708493,0.705718,20

odom,-0.029129,3.142408,-0.708475,0.705736,21
odom,-0.029505,3.020412,-0.707913,0.706299,21
odom,-0.029861,2.908294,-0.708533,0.705678,21
odom,-0.030300,2.796287,-0.708444,0.705767,21
odom,-0.030746,2.684308,-0.708570,0.705640,21
odom,-0.031227,2.572353,-0.708673,0.705537,21
odom,-0.031747,2.460418,-0.708812,0.705397,21
odom,-0.032317,2.348501,-0.708991,0.705218,21
odom,-0.032855,2.236599,-0.708605,0.705605,21
odom,-0.033145,2.124632,-0.707436,0.706777,21
odom,-0.033086,2.011539,-0.706433,0.707780,21
odom,-0.032869,1.906711,-0.706348,0.707865,21
odom,-0.032708,1.808727,-0.706732,0.707481,21
odom,-0.032634,1.715999,-0.706940,0.707274,21
odom,-0.032615,1.628161,-0.707152,0.707062,21
odom,-0.032623,1.542327,-0.707144,0.707070,21
odom,-0.032860,1.428548,-0.708457,0.705754,21

odom,-0.029280,3.092406,-0.708010,0.706203,22
odom,-0.029584,2.973825,-0.708016,0.706196,22
odom,-0.029858,2.867275,-0.708017,0.706195,22
odom,-0.030131,2.761284,-0.708017,0.706195,22
odom,-0.030405,2.655297,-0.708018,0.706194,22
odom,-0.030678,2.549315,-0.708018,0.706194,22
odom,-0.030952,2.443341,-0.708020,0.706192,22
odom,-0.031226,2.337377,-0.708019,0.706193,22
odom,-0.031500,2.231424,-0.708022,0.706190,22
odom,-0.031771,2.125483,-0.707999,0.706213,22
odom,-0.032009,2.029751,-0.707977,0.706236,22
odom,-0.032240,1.936524,-0.707981,0.706231,22
odom,-0.032456,1.849127,-0.707982,0.706230,22
odom,-0.032662,1.765916,-0.707983,0.706229,22
odom,-0.032860,1.686345,-0.707985,0.706228,22
odom,-0.033048,1.610638,-0.707984,0.706228,22
odom,-0.033227,1.539003,-0.707993,0.706219,22
odom,-0.033400,1.468605,-0.707964,0.706248,22
odom,-0.033630,1.378550,-0.708051,0.706161,22

odom,-0.029400,3.042405,-0.707951,0.706262,23
odom,-0.029704,2.920386,-0.708020,0.706193,23
odom,-0.029988,2.808262,-0.707986,0.706226,23
odom,-0.030268,2.696248,-0.707995,0.706217,23
odom,-0.030549,2.584263,-0.707990,0.706223,23
odom,-0.030828,2.472301,-0.707988,0.706224,23
odom,-0.031107,2.360360,-0.707985,0.706227,23
odom,-0.031385,2.248436,-0.707981,0.706231,23
odom,-0.031663,2.136526,-0.707989,0.706223,23
odom,-0.031947,2.024551,-0.708015,0.706198,23
odom,-0.032241,1.911477,-0.708038,0.706174,23
odom,-0.032518,1.806664,-0.708039,0.706173,23
odom,-0.032775,1.708694,-0.708032,0.706180,23
odom,-0.033017,1.615977,-0.708023,0.706189,23
odom,-0.033246,1.528149,-0.708032,0.706180,23
odom,-0.033467,1.442324,-0.708001,0.706212,23
odom,-0.033763,1.328550,-0.708056,0.706156,23

odom,-0.029521,2.992406,-0.707974,0.706238,24
odom,-0.029821,2.873866,-0.708027,0.706185,24
odom,-0.030096,2.767338,-0.708009,0.706204,24
odom,-0.030367,2.661340,-0.708015,0.706197,24
odom,-0.030640,2.555347,-0.708013,0.706199,24
odom,-0.030912,2.449359,-0.708014,0.706198,24
odom,-0.031184,2.343379,-0.708014,0.706198,24
odom,-0.031456,2.237409,-0.708014,0.706198,24
odom,-0.031728,2.131449,-0.708015,0.706197,24
odom,-0.032000,2.025503,-0.708008,0.706204,24
odom,-0.032243,1.929768,-0.708000,0.706212,24
odom,-0.032479,1.836539,-0.708003,0.706210,24
odom,-0.032700,1.749139,-0.708002,0.706210,24
odom,-0.032911,1.665926,-0.708003,0.706209,24
odom,-0.033113,1.586353,-0.708001,0.706211,24
odom,-0.033305,1.510644,-0.708004,0.706209,24
odom,-0.033487,1.439008,-0.708008,0.706204,24
odom,-0.033664,1.368608,-0.707984,0.706229,24
odom,-0.033898,1.278550,-0.708060,0.706152,24

odom,-0.029646,2.942406,-0.707998,0.706215,25
odom,-0.030021,2.816593,-0.708324,0.705888,25
odom,-0.030412,2.697996,-0.708218,0.705994,25
odom,-0.030792,2.579457,-0.708260,0.705952,25
odom,-0.031177,2.460935,-0.708250,0.705962,25
odom,-0.031562,2.342426,-0.708259,0.705953,25
odom,-0.031949,2.223932,-0.708260,0.705952,25
